,5y_ret,5y_ret_ward,Price,Year,Type,Ward
80,0.2427107129042998,0.47857142857142865,1035000.0,2015,D,Claygate
96,0.029131652661064544,0.3529411764705883,1035000.0,2016,D,Claygate
112,0.014149713093374983,0.352112676056338,1200000.0,2017,D,Claygate
128,-0.21455277538107564,0.05737704918032782,967500.0,2018,D,Claygate
144,-0.25416943364007216,-0.15180722891566267,880000.0,2019,D,Claygate
160,-0.10276763653796506,0.04227053140096615,1078750.0,2020,D,Claygate
176,-0.04973412574288405,0.08695652173913038,1125000.0,2021,D,Claygate
272,-0.01754385964912286,0.27192982456140347,362500.0,2015,F,Claygate
288,-0.4513513513513512,0.013513513513513598,375000.0,2016,F,Claygate
304,-0.47064894497150755,-0.0011752607609812893,339950.0,2017,F,Claygate
320,-0.10702614379084974,0.26797385620915026,485000.0,2018,F,Claygate
336,0.16788623205576636,0.41212586339217183,460000.0,2019,F,Claygate
352,-0.012385643912737443,0.08965517241379306,395000.0,2020,F,Claygate
368,-0.0756900369003689,-0.07199999999999995,348000.0,2021,F,Claygate
464,0.10970064418340275,0.48901098901098905,677500.0,2015,S,Claygate
480,-0.1324194084413428,0.34215686274509793,684500.0,2016,S,Claygate
496,0.1834254670224933,0.6424418604651163,706250.0,2017,S,Claygate
512,-0.20489188231123712,0.17972350230414746,640000.0,2018,S,Claygate
528,0.09488258317025422,0.29214285714285704,723600.0,2019,S,Claygate
544,-0.1291697416974169,0.02583025830258312,695000.0,2020,S,Claygate
560,-0.05577525335214073,0.059167275383491535,725000.0,2021,S,Claygate
656,-0.09065301140529236,0.22961104140526967,490000.0,2015,T,Claygate
672,-0.2572138900353911,0.21308016877637126,460000.0,2016,T,Claygate
688,-0.06363636363636371,0.4363636363636363,474000.0,2017,T,Claygate
704,0.05991582491582492,0.4545454545454546,560000.0,2018,T,Claygate
720,-0.16148208469055358,0.06000000000000005,530000.0,2019,T,Claygate
736,0.13450834879406304,0.3163265306122449,645000.0,2020,T,Claygate
752,0.18330375628512274,0.2717391304347827,585000.0,2021,T,Claygate
81,0.4337045017241754,0.6695652173913043,1344000.0,2015,D,Cobham and Downside
97,-0.14411027568922297,0.1796992481203008,1176750.0,2016,D,Cobham and Downside
113,0.12870370370370354,0.46666666666666656,1320000.0,2017,D,Cobham and Downside
129,-0.09753466327108096,0.1743951612903225,1165000.0,2018,D,Cobham and Downside
145,-0.22785240080284086,-0.12549019607843137,1115000.0,2019,D,Cobham and Downside
161,-0.3079845965103598,-0.1629464285714286,1125000.0,2020,D,Cobham and Downside
177,-0.13392880341997926,0.002761844062035168,1180000.0,2021,D,Cobham and Downside
273,-0.012687969924812137,0.2767857142857142,357500.0,2015,F,Cobham and Downside
289,-0.2861414606095456,0.17872340425531918,277000.0,2016,F,Cobham and Downside
305,-0.43706261701685034,0.032411067193675924,326500.0,2017,F,Cobham and Downside
321,-0.02178899082568808,0.3532110091743119,295000.0,2018,F,Cobham and Downside
337,0.6945358788676761,0.9387755102040816,475000.0,2019,F,Cobham and Downside
353,0.05879834451263033,0.16083916083916083,415000.0,2020,F,Cobham and Downside
369,0.14251934938121957,0.14620938628158853,317500.0,2021,F,Cobham and Downside
465,0.039356321839080444,0.41866666666666674,532000.0,2015,S,Cobham and Downside
481,-0.02471177254145429,0.44986449864498645,535000.0,2016,S,Cobham and Downside
497,-0.10123861566484527,0.35777777777777775,611000.0,2017,S,Cobham and Downside
513,-0.26419653644784535,0.12041884816753923,535000.0,2018,S,Cobham and Downside
529,-0.07443199114432009,0.12282828282828273,555800.0,2019,S,Cobham and Downside
545,-0.11176691729323318,0.043233082706766846,555000.0,2020,S,Cobham and Downside
561,0.07197335911483504,0.1869158878504673,635000.0,2021,S,Cobham and Downside
657,0.1494329168864077,0.4696969696969697,485000.0,2015,T,Cobham and Downside
673,-0.05779405881176225,0.4125000000000001,452000.0,2016,T,Cobham and Downside
689,0.37384615384615394,0.8738461538461539,609000.0,2017,T,Cobham and Downside
705,-0.20944444444444454,0.18518518518518512,480000.0,2018,T,Cobham and Downside
721,-0.08812821958430161,0.13335386510625202,460000.0,2019,T,Cobham and Downside
737,-0.27460168697282106,-0.09278350515463918,440000.0,2020,T,Cobham and Downside
753,-0.03755041839744755,0.05088495575221241,475000.0,2021,T,Cobham and Downside
82,-0.05230431031340044,0.1835564053537284,1547500.0,2015,D,Esher
98,-0.07999254112197218,0.2438169826875516,1508750.0,2016,D,Esher
114,-0.12101696668735773,0.2169459962756053,1633750.0,2017,D,Esher
130,-0.06239585088655475,0.20953397367484872,1700000.0,2018,D,Esher
146,-0.03418038654259137,0.06818181818181812,1645000.0,2019,D,Esher
162,-0.1208055346594481,0.024232633279483107,1585000.0,2020,D,Esher
178,-0.0530121056427435,0.08367854183927093,1635000.0,2021,D,Esher
274,-0.16262183235867456,0.12685185185185177,304250.0,2015,F,Esher
290,-0.07996486486486476,0.3849,346225.0,2016,F,Esher
306,-0.22947368421052627,0.24,310000.0,2017,F,Esher
322,-0.4978070175438597,-0.1228070175438597,375000.0,2018,F,Esher
338,-0.43970705343272276,-0.1954674220963173,284000.0,2019,F,Esher
354,0.3852229470259756,0.4872637633525061,452500.0,2020,F,Esher
370,-0.027446264786858965,-0.02375622788649001,338000.0,2021,F,Esher
466,-0.022167487684729092,0.3571428571428572,418000.0,2015,S,Esher
482,0.1157851745966918,0.5903614457831325,660000.0,2016,S,Esher
498,0.14422247295413815,0.6032388663967612,495000.0,2017,S,Esher
514,-0.01382886776145198,0.3707865168539326,488000.0,2018,S,Esher
530,-0.10056944864533723,0.09669082532726558,488000.0,2019,S,Esher
546,0.04535885167464104,0.20035885167464107,501750.0,2020,S,Esher
562,-0.2759273772204808,-0.1609848484848485,553750.0,2021,S,Esher
658,0.06435133180482255,0.3846153846153846,450000.0,2015,T,Esher
674,-0.3340621747537913,0.13623188405797104,490000.0,2016,T,Esher
690,0.2054263565891472,0.7054263565891472,550000.0,2017,T,Esher
706,-0.4510398860398861,-0.05641025641025643,460000.0,2018,T,Esher
722,-0.08774714493151747,0.13373493975903616,470500.0,2019,T,Esher
738,-0.16515151515151527,0.016666666666666607,457500.0,2020,T,Esher
754,0.034013605442176686,0.12244897959183665,550000.0,2021,T,Esher
83,-0.13151288958017227,0.10434782608695659,635000.0,2015,D,Hersham Village
99,0.039826839826839766,0.36363636363636354,675000.0,2016,D,Hersham Village
115,0.19995838535164379,0.5379213483146068,821250.0,2017,D,Hersham Village
131,0.06140350877192979,0.33333333333333326,720000.0,2018,D,Hersham Village
147,-0.024762204724409598,0.07759999999999989,673500.0,2019,D,Hersham Village
163,-0.0505499789625532,0.09448818897637801,695000.0,2020,D,Hersham Village
179,0.1373834265920597,0.27407407407407414,860000.0,2021,D,Hersham Village
275,-0.10028449502133707,0.18918918918918926,220000.0,2015,F,Hersham Village
291,0.4386721126270967,0.9035369774919615,296000.0,2016,F,Hersham Village
307,-0.11447368421052628,0.355,271000.0,2017,F,Hersham Village
323,0.11316784581605277,0.48816784581605277,305000.0,2018,F,Hersham Village
339,0.1779825908858168,0.4222222222222223,320000.0,2019,F,Hersham Village
355,0.4752319109461969,0.5772727272727274,347000.0,2020,F,Hersham Village
371,-0.10841976663009867,-0.10472972972972971,265000.0,2021,F,Hersham Village
467,-0.015570667579309916,0.3637396772482764,450000.0,2015,S,Hersham Village
483,0.07747420199967903,0.5520504731861198,492000.0,2016,S,Hersham Village
499,0.07613985655737698,0.53515625,491250.0,2017,S,Hersham Village
515,0.10503978779840861,0.4896551724137932,540000.0,2018,S,Hersham Village
531,0.20526427020692029,0.4025245441795231,575000.0,2019,S,Hersham Village
547,0.12277777777777765,0.2777777777777777,575000.0,2020,S,Hersham Village
563,0.04867535744322948,0.16361788617886175,572500.0,2021,S,Hersham Village
659,-0.03696293506957549,0.28330111774098654,381750.0,2015,T,Hersham Village
675,0.10113451261680906,0.5714285714285714,440000.0,2016,T,Hersham Village
691,-0.13174603174603172,0.3682539682539683,431000.0,2017,T,Hersham Village
707,-0.2821296296296296,0.11250000000000004,445000.0,2018,T,Hersham Village
723,0.07516221061145978,0.2966442953020134,483000.0,2019,T,Hersham Village
739,0.09519557063761375,0.2770137524557956,487500.0,2020,T,Hersham Village
755,0.0479282622139765,0.13636363636363646,500000.0,2021,T,Hersham Village
84,0.29112341131699804,0.5269841269841269,962000.0,2015,D,Hinchley Wood and Weston Green
100,0.064692218350755,0.3885017421602788,996250.0,2016,D,Hinchley Wood and Weston Green
116,0.00498575498575482,0.34294871794871784,1047500.0,2017,D,Hinchley Wood and Weston Green
132,-0.08205640683988458,0.1898734177215189,940000.0,2018,D,Hinchley Wood and Weston Green
148,0.12429680130833964,0.22665900603274913,1067500.0,2019,D,Hinchley Wood and Weston Green
164,-0.014580787481550672,0.13045738045738053,1087500.0,2020,D,Hinchley Wood and Weston Green
180,0.0025816235342968064,0.13927227101631123,1135000.0,2021,D,Hinchley Wood and Weston Green
276,0.1159081656641876,0.40538184987471393,322500.0,2015,F,Hinchley Wood and Weston Green
292,0.7727132858426049,1.2375781507074697,340000.0,2016,F,Hinchley Wood and Weston Green
308,-0.2041675617615466,0.26530612244897966,310000.0,2017,F,Hinchley Wood and Weston Green
324,-0.11499999999999999,0.26,315000.0,2018,F,Hinchley Wood and Weston Green
340,0.05495715581218885,0.2991967871485943,323500.0,2019,F,Hinchley Wood and Weston Green
356,0.014238253440911341,0.11627906976744184,360000.0,2020,F,Hinchley Wood and Weston Green
372,-0.05957238984154545,-0.055882352941176494,321000.0,2021,F,Hinchley Wood and Weston Green
468,0.1776149989838085,0.5569253438113948,792475.0,2015,S,Hinchley Wood and Weston Green
484,0.11349252916191555,0.5880688003483563,911750.0,2016,S,Hinchley Wood and Weston Green
500,0.22863428965408206,0.6876506830967051,945000.0,2017,S,Hinchley Wood and Weston Green
516,-0.07752877044215634,0.30708661417322825,830000.0,2018,S,Hinchley Wood and Weston Green
532,-0.04277751535191321,0.1544827586206896,837000.0,2019,S,Hinchley Wood and Weston Green
548,-0.09502965393230078,0.05997034606769924,840000.0,2020,S,Hinchley Wood and Weston Green
564,-0.12782983336957798,-0.012887304633945718,900000.0,2021,S,Hinchley Wood and Weston Green
660,0.11132798699043289,0.4315920398009949,575500.0,2015,T,Hinchley Wood and Weston Green
676,0.1028766728955548,0.5731707317073171,645000.0,2016,T,Hinchley Wood and Weston Green
692,-0.16352941176470592,0.3364705882352941,568000.0,2017,T,Hinchley Wood and Weston Green
708,-0.18161187815033975,0.21301775147928992,512500.0,2018,T,Hinchley Wood and Weston Green
724,-0.030944272174377785,0.19053781251617585,575000.0,2019,T,Hinchley Wood and Weston Green
740,-0.1566226996287814,0.025195482189400487,590000.0,2020,T,Hinchley Wood and Weston Green
756,-0.10393925011865224,-0.015503875968992276,635000.0,2021,T,Hinchley Wood and Weston Green
85,0.20029313048671726,0.4361538461538461,933500.0,2015,D,Long Ditton
101,0.32669854373269014,0.6505080675422139,1099651.0,2016,D,Long Ditton
117,0.035276473656755236,0.37323943661971826,975000.0,2017,D,Long Ditton
133,-0.024985380116959055,0.2469444444444444,1122250.0,2018,D,Long Ditton
149,0.08513779527559051,0.1875,1045000.0,2019,D,Long Ditton
165,-0.07647898207926329,0.06855918585966791,997500.0,2020,D,Long Ditton
181,-0.19775638561165743,-0.061065738129643,1032500.0,2021,D,Long Ditton
277,0.06683894103997456,0.3563126252505009,338400.0,2015,F,Long Ditton
293,-0.3062934362934362,0.15857142857142859,405500.0,2016,F,Long Ditton
309,-0.1425506072874494,0.32692307692307687,345000.0,2017,F,Long Ditton
325,-0.09386120996441272,0.2811387900355873,360000.0,2018,F,Long Ditton
341,-0.2112725983693724,0.03296703296703307,352500.0,2019,F,Long Ditton
357,-0.14902663192936738,-0.04698581560283688,322500.0,2020,F,Long Ditton
373,-0.035749223090257964,-0.03205918618988901,392500.0,2021,F,Long Ditton
469,-0.06461055186692377,0.3146997929606625,635000.0,2015,S,Long Ditton
485,0.13256658595641646,0.6071428571428572,675000.0,2016,S,Long Ditton
501,-0.05886583961963132,0.4001505538229917,651000.0,2017,S,Long Ditton
517,0.35246326707000875,0.7370786516853933,773000.0,2018,S,Long Ditton
533,0.124729800676048,0.3219900746486508,792500.0,2019,S,Long Ditton
549,0.002480314960629837,0.15748031496062986,735000.0,2020,S,Long Ditton
565,-0.00012771392081734056,0.11481481481481493,752500.0,2021,S,Long Ditton
661,-0.07555450924209728,0.24470954356846475,599950.0,2015,T,Long Ditton
677,-0.29656086336191745,0.1737331954498449,567500.0,2016,T,Long Ditton
693,-0.31361730769230767,0.18638269230769233,616919.0,2017,T,Long Ditton
709,-0.16386039886039883,0.23076923076923084,580000.0,2018,T,Long Ditton
725,-0.028142584228018963,0.19333950046253467,645000.0,2019,T,Long Ditton
741,-0.08172650751198973,0.10009167430619215,660000.0,2020,T,Long Ditton
757,0.0833707932512211,0.17180616740088106,665000.0,2021,T,Long Ditton
86,0.10202912808287112,0.33788984375,856249.5,2015,D,Molesey East
102,0.2317460317460318,0.5555555555555556,1050000.0,2016,D,Molesey East
118,-0.1405107336636,0.197452229299363,940000.0,2017,D,Molesey East
134,-0.06762874929258622,0.20430107526881724,1120000.0,2018,D,Molesey East
150,-0.23404159403738656,-0.13167938931297707,1137500.0,2019,D,Molesey East
166,0.300218150458919,0.4452563183978502,1237500.0,2020,D,Molesey East
182,0.009023638232271258,0.14571428571428569,1203000.0,2021,D,Molesey East
278,0.01628372216174867,0.305757406372275,292000.0,2015,F,Molesey East
294,-0.04120895088637022,0.42365591397849456,331000.0,2016,F,Molesey East
310,0.1969548872180451,0.6664285714285714,349950.0,2017,F,Molesey East
326,0.11510002041232914,0.49010002041232914,365000.0,2018,F,Molesey East
342,0.019396732299958197,0.26363636363636367,347500.0,2019,F,Molesey East
358,-0.07464355605255779,0.027397260273972712,300000.0,2020,F,Molesey East
374,0.12319818062228971,0.12688821752265866,373000.0,2021,F,Molesey East
470,0.06199723318132899,0.4413075780089153,485000.0,2015,S,Molesey East
486,0.5076722495236183,0.9822485207100591,670000.0,2016,S,Molesey East
502,-0.13609972677595628,0.32291666666666674,635000.0,2017,S,Molesey East
518,-0.08953587666458951,0.2950795079507951,647475.0,2018,S,Molesey East
534,-0.06949725457507894,0.12776301939752388,562500.0,2019,S,Molesey East
550,0.16974226804123704,0.32474226804123707,642500.0,2020,S,Molesey East
566,-0.03285297649682639,0.08208955223880587,725000.0,2021,S,Molesey East
662,0.04203102915665102,0.36229508196721305,415500.0,2015,T,Molesey East
678,0.07333010226206316,0.5436241610738255,460000.0,2016,T,Molesey East
694,0.024105754276827263,0.5241057542768273,490000.0,2017,T,Molesey East
710,0.10388669084514768,0.49851632047477734,505000.0,2018,T,Molesey East
726,0.0823153836638768,0.30379746835443044,515000.0,2019,T,Molesey East
742,-0.01454983043430702,0.16726835138387486,485000.0,2020,T,Molesey East
758,0.10716245193729645,0.19559782608695642,549975.0,2021,T,Molesey East
87,0.10996120214109029,0.34582191780821914,491225.0,2015,D,Molesey West
103,0.09554531490015372,0.4193548387096775,550000.0,2016,D,Molesey West
119,0.28157431210130435,0.6195372750642674,630000.0,2017,D,Molesey West
135,0.2939626683657628,0.5658924929271663,595000.0,2018,D,Molesey West
151,0.009288280712483665,0.11165048543689315,572500.0,2019,D,Molesey West
167,0.030594179763241858,0.17563234770217306,577500.0,2020,D,Molesey West
183,0.008763897972531076,0.1454545454545455,630000.0,2021,D,Molesey West
279,0.07755847953216377,0.3670321637426901,233762.5,2015,F,Molesey West
295,-0.043812233285917435,0.42105263157894735,243000.0,2016,F,Molesey West
311,-0.026715063520871052,0.4427586206896552,261500.0,2017,F,Molesey West
327,0.09558823529411775,0.47058823529411775,262500.0,2018,F,Molesey West
343,0.07627318917641501,0.3205128205128205,257500.0,2019,F,Molesey West
359,0.052977631884794985,0.1550184482113255,270000.0,2020,F,Molesey West
375,0.07655687667987787,0.08024691358024683,262500.0,2021,F,Molesey West
471,0.058784893267651794,0.4380952380952381,453000.0,2015,S,Molesey West
487,0.10169491525423724,0.576271186440678,465000.0,2016,S,Molesey West
503,0.021899637091728152,0.48091603053435117,485000.0,2017,S,Molesey West
519,0.09925558312655092,0.4838709677419355,460000.0,2018,S,Molesey West
535,0.03863716192483313,0.23589743589743595,482000.0,2019,S,Molesey West
551,-0.07332229580573957,0.08167770419426046,490000.0,2020,S,Molesey West
567,0.014089729328883971,0.12903225806451624,525000.0,2021,S,Molesey West
663,0.03477796399616073,0.35504201680672276,322500.0,2015,T,Molesey West
679,0.08384606857677279,0.5541401273885351,366000.0,2016,T,Molesey West
695,0.18909512761020886,0.6890951276102089,364000.0,2017,T,Molesey West
711,0.15368003230275673,0.5483096619323864,387000.0,2018,T,Molesey West
727,0.007889477236434184,0.22937156192698782,368750.0,2019,T,Molesey West
743,-0.07329105003523617,0.10852713178294571,357500.0,2020,T,Molesey West
759,-0.02012936322069825,0.06830601092896171,391000.0,2021,T,Molesey West
88,-0.0367656930426945,0.19909502262443435,1325000.0,2015,D,Oatlands and Burwood Park
104,-0.004931972789115502,0.31887755102040827,1292500.0,2016,D,Oatlands and Burwood Park
120,-0.10100644122383251,0.2369565217391305,1422500.0,2017,D,Oatlands and Burwood Park
136,-0.10200099893862768,0.16992882562277578,1315000.0,2018,D,Oatlands and Burwood Park
152,-0.20079970472440944,-0.09843749999999996,1442500.0,2019,D,Oatlands and Burwood Park
